date,volume,money,open,high,low,close,change,num
103/01/02,10762073,629994789.0,58.7,58.75,58.35,58.55,-0.15,2326
103/01/03,14509506,840196483.0,58.45,58.45,57.7,57.85,-0.7,3606
103/01/06,14870810,857370777.0,57.75,57.95,57.55,57.7,-0.15,3651
103/01/07,13128332,758131999.0,57.75,57.9,57.7,57.7,0.0,2582
103/01/08,7605215,439845285.0,57.7,57.95,57.7,57.8,0.1,1997
103/01/09,8571228,493178086.0,57.65,57.8,57.4,57.55,-0.25,2329
103/01/10,4741624,272992903.0,57.5,57.65,57.5,57.55,0.0,1027
103/01/13,6179869,358200472.0,58.0,58.2,57.8,57.9,0.35,1649
103/01/14,4276441,246832293.0,57.7,57.85,57.6,57.8,-0.1,1753
103/01/15,11675845,680334063.0,57.95,58.45,57.95,58.4,0.6,3783
103/01/16,12771698,749062443.0,58.5,58.75,58.5,58.55,0.15,2648
103/01/17,8169584,478201524.0,58.6,58.7,58.3,58.65,0.1,2188
103/01/20,5627156,330310001.0,58.4,58.8,58.4,58.8,0.15,2155
103/01/21,6963662,408195578.0,58.75,58.85,58.5,58.55,-0.25,984
103/01/22,6838219,400293473.0,58.45,58.65,58.35,58.65,0.1,2088
103/01/23,6904868,404192804.0,58.6,58.75,58.35,58.5,-0.15,1588
103/01/24,10706035,627470683.0,58.3,58.8,58.3,58.65,0.15,1417
103/01/27,21325343,1228049744.0,58.1,58.2,57.45,57.6,-1.05,5733
