date,volume,money,open,high,low,close,change,num
106/01/03,2331431,167301490.0,71.7,71.9,71.5,71.9,0.1,451
106/01/04,4284195,308177877.0,72.0,72.1,71.75,71.85,-0.05,614
106/01/05,4573600,330422521.0,71.85,72.5,71.8,72.5,0.65,1236
106/01/06,3752998,272387663.0,72.45,72.75,72.45,72.65,0.15,980
106/01/09,5038290,366344482.0,72.75,72.95,72.3,72.45,-0.2,1057
106/01/10,1857853,134624612.0,72.45,72.6,72.4,72.4,-0.05,422
106/01/11,1898053,137621077.0,72.8,72.85,72.4,72.4,0.0,589
106/01/12,4857459,354847738.0,72.6,73.3,72.6,73.15,0.75,1399
106/01/13,3909860,284091239.0,72.8,72.8,72.6,72.6,-0.55,835
106/01/16,2418439,174145772.0,72.4,72.4,71.8,72.0,-0.6,881
106/01/17,1572741,113686311.0,72.0,72.4,72.0,72.3,0.3,494
106/01/18,3837818,276891011.0,72.2,72.2,72.05,72.15,-0.15,679
106/01/19,4065559,292416114.0,71.85,72.1,71.6,71.95,-0.2,665
106/01/20,2422174,174730158.0,71.95,72.25,71.95,72.15,0.2,1433
106/01/23,5965089,434672631.0,72.55,73.0,72.55,72.75,0.6,1534
106/01/24,4575104,334830127.0,73.0,73.3,72.9,73.3,0.55,1858
