date,volume,money,open,high,low,close,change,num
 97/11/03,26268521,952647347.0,36.54,36.91,35.35,36.69,0.15,7013
 97/11/04,13884267,501926130.0,36.4,36.78,35.76,36.64,-0.05,4438
 97/11/05,23301781,854797516.0,37.0,37.29,36.03,36.8,0.16,5119
 97/11/06,19494280,668411976.0,34.45,34.45,34.23,34.23,-2.57,5010
 97/11/07,21622371,725498202.0,32.6,34.67,32.56,34.39,0.16,5179
 97/11/10,11731458,398935154.0,34.39,34.39,33.5,34.05,-0.34,3496
 97/11/11,12042693,403242609.0,33.25,34.02,33.18,33.46,-0.59,3213
 97/11/12,10904159,363930653.0,33.42,33.79,33.0,33.46,0.0,2871
 97/11/13,21469327,684238894.0,32.5,32.5,31.51,31.6,-1.86,5507
 97/11/14,13096165,423165163.0,32.8,32.8,31.84,32.0,0.4,3518
 97/11/17,9795603,312997791.0,31.5,32.25,31.45,32.2,0.2,2533
 97/11/18,18895288,588303747.0,31.36,31.5,30.77,30.9,-1.3,4640
 97/11/19,15284593,470958961.0,30.88,31.08,30.57,30.96,0.06,3679
 97/11/20,21771526,647673170.0,30.0,30.11,29.4,29.5,-1.46,6838
 97/11/21,28754420,845254053.0,29.1,30.78,28.53,30.78,1.28,6775
 97/11/24,26078846,774979100.0,30.45,30.45,29.3,29.96,-0.82,5962
 97/11/25,33085928,1022004561.0,30.95,31.35,30.41,30.6,0.64,6876
 97/11/26,12095076,373229276.0,30.87,31.13,30.58,30.95,0.35,2936
 97/11/27,29849129,956179148.0,31.5,32.8,31.35,32.8,1.85,7074
 97/11/28,27444145,878935654.0,32.5,32.5,31.74,32.13,-0.67,5225
