date,volume,money,open,high,low,close,change,num
 93/10/01,6967000,320050900.0,45.71,46.3,45.65,46.3,0.7,573
 93/10/04,21132000,996139430.0,47.05,47.35,46.92,47.26,0.96,1441
 93/10/05,9362000,443730140.0,47.31,47.55,47.27,47.49,0.23,650
 93/10/06,10442000,496934950.0,47.42,47.76,47.13,47.3,-0.19,776
 93/10/07,8950000,425334290.0,47.43,47.73,47.39,47.5,0.2,580
 93/10/08,5198000,246554850.0,47.4,47.55,47.27,47.5,0.0,487
 93/10/11,4890000,230147560.0,47.03,47.2,46.9,47.15,-0.35,451
 93/10/12,3444000,160567900.0,46.9,46.99,46.28,46.28,-0.87,618
 93/10/13,4133000,191194670.0,46.28,46.34,46.15,46.15,-0.13,422
 93/10/14,8848000,401602500.0,45.54,45.75,45.03,45.16,-0.99,1256
 93/10/15,8455000,382359270.0,45.5,45.5,44.94,45.08,-0.08,694
 93/10/18,1397000,62949670.0,45.2,45.23,44.95,45.04,-0.04,363
 93/10/19,3078000,139098260.0,45.13,45.38,45.07,45.37,0.33,432
 93/10/20,5549000,249956770.0,45.1,45.18,44.9,45.1,-0.27,779
 93/10/21,4170000,188619550.0,45.05,45.35,44.9,45.17,0.07,516
 93/10/22,2345000,106059230.0,45.19,45.32,45.15,45.2,0.03,315
 93/10/26,5597000,248599170.0,44.58,44.58,44.2,44.22,-0.98,932
 93/10/27,6037000,265808920.0,44.22,44.25,43.81,44.15,-0.07,801
 93/10/28,4275000,190377440.0,44.5,44.85,44.39,44.85,0.7,517
 93/10/29,1279000,57079550.0,44.6,44.79,44.51,44.72,-0.13,328
