date,volume,money,open,high,low,close,change,num
 94/03/01,16898000,823310190.0,48.71,48.88,48.6,48.83,0.2,768
 94/03/02,7486000,365018160.0,48.85,48.95,48.52,48.7,-0.13,613
 94/03/03,7307000,353168780.0,48.51,48.58,48.15,48.5,-0.2,647
 94/03/04,2197000,106107810.0,48.36,48.45,48.2,48.2,-0.3,361
 94/03/07,12442000,603642800.0,48.52,48.57,48.4,48.45,0.25,612
 94/03/08,11222000,543229150.0,48.48,48.67,47.9,47.9,-0.55,724
 94/03/09,13726000,660208510.0,47.92,48.25,47.92,48.21,0.31,656
 94/03/10,3185000,152818810.0,48.1,48.12,47.8,48.05,-0.16,428
 94/03/11,6378000,307106270.0,48.2,48.28,48.02,48.18,0.13,352
 94/03/14,3298000,157934710.0,47.8,47.99,47.66,47.74,-0.44,314
 94/03/15,7815000,369114940.0,47.7,47.74,46.95,47.1,-0.64,960
 94/03/16,3615000,170725320.0,47.0,47.35,47.0,47.29,0.19,321
 94/03/17,5316000,249407760.0,46.8,47.03,46.79,46.86,-0.43,567
 94/03/18,3551000,166385600.0,46.86,46.98,46.75,46.86,0.0,348
 94/03/21,3429000,160795270.0,46.86,46.97,46.86,46.87,0.01,322
 94/03/22,9536000,443911420.0,46.85,46.85,46.4,46.72,-0.15,757
 94/03/23,10972000,508668300.0,46.5,46.58,46.18,46.5,-0.22,794
 94/03/24,5034000,234326370.0,46.5,46.72,46.4,46.4,-0.1,476
 94/03/25,2609000,121852570.0,46.49,46.85,46.49,46.85,0.45,371
 94/03/28,4493000,210403920.0,46.99,47.0,46.71,46.71,-0.14,391
 94/03/29,8957000,415558800.0,46.68,46.68,46.22,46.22,-0.49,529
 94/03/30,9329000,430906000.0,46.16,46.36,46.11,46.23,0.01,559
 94/03/31,3913000,182317380.0,46.4,46.75,46.4,46.75,0.52,337
