date,volume,money,open,high,low,close,change,num
103/04/01,28836222,1742191068.0,60.25,60.6,60.2,60.6,0.5,3203
103/04/02,19104855,1164181333.0,60.8,61.15,60.8,60.8,0.2,2138
103/04/03,12620330,766517855.0,60.8,60.95,60.65,60.65,-0.15,1334
103/04/07,11380319,687722237.0,60.4,60.5,60.3,60.5,-0.15,1114
103/04/08,14011887,850681912.0,60.45,60.9,60.45,60.8,0.3,1203
103/04/09,12067064,736215354.0,60.8,61.1,60.8,61.0,0.2,1546
103/04/10,13486974,823824535.0,61.25,61.3,60.9,61.2,0.2,1379
103/04/11,15019135,916078435.0,60.8,61.15,60.8,61.15,-0.05,1216
103/04/14,13397003,818202956.0,61.1,61.2,60.9,61.05,-0.1,1201
103/04/15,13893416,852294773.0,61.2,61.45,61.2,61.35,0.3,1536
103/04/16,7049691,432479784.0,61.35,61.5,61.1,61.3,-0.05,971
103/04/17,3531783,216347762.0,61.3,61.4,61.1,61.15,-0.15,753
103/04/18,7072752,436080993.0,61.75,61.9,61.5,61.55,0.4,1010
103/04/21,3405648,209616454.0,61.45,61.65,61.45,61.55,0.0,723
103/04/22,9137755,564338510.0,61.55,61.95,61.55,61.75,0.2,1182
103/04/23,5487114,339123359.0,61.85,62.05,61.5,61.65,-0.1,1009
103/04/24,4518205,278868794.0,61.7,61.8,61.6,61.75,0.1,635
103/04/25,22903168,1397360353.0,61.65,61.8,60.6,60.7,-1.05,2363
103/04/28,8482863,516757486.0,60.3,61.5,60.3,61.25,0.55,1696
103/04/29,6518965,399867438.0,61.25,61.5,61.1,61.35,0.1,880
103/04/30,5598140,341881232.0,61.4,61.45,60.8,61.0,-0.35,916
