date,volume,money,open,high,low,close,change,num
100/10/03,26724933,1348925819.0,50.75,51.0,50.15,50.3,-1.35,7241
100/10/04,19459519,975289258.0,49.9,50.75,49.5,50.75,0.45,5075
100/10/05,13795531,696382310.0,50.9,50.95,50.2,50.25,-0.5,3858
100/10/06,21005701,1077779812.0,51.15,51.55,51.0,51.25,1.0,5356
100/10/07,18355387,951462753.0,51.8,52.15,51.5,51.55,0.3,5557
100/10/11,24633728,1302666234.0,52.75,53.0,52.7,53.0,1.45,6578
100/10/12,10379445,548499937.0,52.85,53.1,52.5,52.85,-0.15,3332
100/10/13,12110385,640452091.0,53.2,53.2,52.65,52.8,-0.05,2737
100/10/14,9843797,518191057.0,52.6,52.9,52.45,52.45,-0.35,2315
100/10/17,12184723,647427128.0,53.1,53.45,52.8,53.1,0.65,3377
100/10/18,18729818,982604433.0,52.5,52.7,52.2,52.55,-0.55,3396
100/10/19,15305135,804183772.0,52.6,52.75,52.3,52.35,-0.2,2457
100/10/20,19221415,1000528948.0,52.55,52.65,51.75,51.75,-0.6,4864
100/10/21,16993828,879234656.0,51.8,51.95,51.55,51.95,0.2,3026
100/10/24,27555204,1469394216.0,52.45,53.6,52.45,53.6,1.65,6602
100/10/25,23610880,1265806695.0,53.65,53.7,53.45,53.6,0.0,4519
100/10/26,24026648,1242830248.0,51.6,52.15,51.3,52.15,0.0,5405
100/10/27,23253137,1210817761.0,52.15,52.3,51.75,52.25,0.1,3549
100/10/28,36429630,1926724166.0,53.4,53.45,52.35,52.4,0.15,5670
100/10/31,16939650,888578737.0,52.8,52.95,52.1,52.2,-0.2,3056
