date,volume,money,open,high,low,close,change,num
102/05/02,15919943,899914379.0,56.35,56.65,56.35,56.55,0.15,2684
102/05/03,13217634,751481268.0,56.85,57.0,56.65,56.65,0.1,2300
102/05/06,8575588,488875027.0,57.0,57.15,56.9,56.9,0.25,2033
102/05/07,14262007,813797499.0,56.9,57.2,56.8,57.1,0.2,2240
102/05/08,21793386,1258269249.0,57.2,58.1,57.2,57.85,0.75,4030
102/05/09,17797101,1037335180.0,58.2,58.45,58.15,58.2,0.35,2954
102/05/10,9240965,535856639.0,58.1,58.15,57.85,57.9,-0.3,1698
102/05/13,6700177,387395932.0,57.9,58.0,57.6,57.75,-0.15,1088
102/05/14,10934122,634102226.0,58.0,58.25,57.75,57.9,0.15,1790
102/05/15,11719865,678723820.0,58.1,58.1,57.65,57.95,0.05,2143
102/05/16,32187846,1888455526.0,58.5,58.9,58.4,58.7,0.75,4533
102/05/17,8651843,506338140.0,58.6,58.7,58.4,58.4,-0.3,1880
102/05/20,7993319,466046373.0,58.3,58.5,58.1,58.3,-0.1,1449
102/05/21,6989772,408198029.0,58.35,58.7,58.15,58.3,0.0,1187
102/05/22,7429351,433863893.0,58.65,58.7,58.2,58.25,-0.05,1176
102/05/23,14865840,854334512.0,57.9,58.0,57.0,57.0,-1.25,3514
102/05/24,6949631,395777002.0,57.0,57.2,56.6,56.85,-0.15,1688
102/05/27,3285598,187924976.0,56.8,57.35,56.8,57.35,0.5,1116
102/05/28,2342716,134258644.0,57.4,57.45,57.15,57.15,-0.2,754
102/05/29,7988608,460199379.0,57.35,57.8,57.35,57.65,0.5,1178
102/05/30,8823666,503172389.0,57.4,57.45,56.85,56.95,-0.7,1746
102/05/31,9240119,528579918.0,57.5,57.7,56.8,56.95,0.0,1733
