date,volume,money,open,high,low,close,change,num
 95/09/01,2472000,134130250.0,54.15,54.4,54.15,54.35,0.1,348
 95/09/04,17456000,961182950.0,54.8,55.35,54.8,55.05,0.7,905
 95/09/05,6564000,362430950.0,55.2,55.35,55.05,55.2,0.15,445
 95/09/06,7442000,408149350.0,54.8,55.2,54.45,54.75,-0.45,534
 95/09/07,5137000,279609600.0,54.45,54.8,54.25,54.55,-0.2,341
 95/09/08,4207000,230505400.0,54.55,55.0,54.25,54.7,0.15,325
 95/09/11,5103000,281909700.0,54.8,55.75,54.5,54.75,0.05,705
 95/09/12,2144000,116572000.0,54.5,54.7,54.15,54.15,-0.6,350
 95/09/13,2764000,150981650.0,54.6,54.9,54.35,54.9,0.75,342
 95/09/14,4405000,240437900.0,55.0,55.1,54.05,54.6,-0.3,506
 95/09/15,6096200,334365140.0,54.45,55.25,54.45,55.25,0.65,472
 95/09/18,16751000,946623000.0,56.1,56.95,56.0,56.9,1.65,970
 95/09/19,6457300,368076870.0,57.0,57.15,56.85,56.95,0.05,616
 95/09/20,4731300,267535750.0,56.75,56.8,56.35,56.6,-0.35,380
 95/09/21,6170250,350601900.0,57.05,57.15,56.4,56.75,0.15,404
 95/09/22,2027000,114325750.0,56.4,56.55,56.3,56.45,-0.3,234
 95/09/25,4595150,259713150.0,56.45,56.75,56.05,56.6,0.15,354
 95/09/26,6097000,346261550.0,57.0,57.05,56.55,56.6,0.0,385
 95/09/27,5838000,332807400.0,57.05,57.1,56.85,57.0,0.4,395
 95/09/28,7220000,408507000.0,57.1,57.1,56.1,56.5,-0.5,569
 95/09/29,7964000,449256500.0,56.6,56.6,56.05,56.35,-0.15,498
