date,volume,money,open,high,low,close,change,num
102/12/02,5600990,321900939.0,57.6,57.7,57.35,57.45,-0.1,1672
102/12/03,7385103,423383862.0,57.35,57.5,57.15,57.5,0.05,1668
102/12/04,7401796,425548315.0,57.25,57.65,57.2,57.45,-0.05,1972
102/12/05,6056780,346321000.0,57.45,57.5,57.0,57.1,-0.35,1628
102/12/06,4023610,230202816.0,57.05,57.4,56.9,57.15,0.05,1266
102/12/09,8645140,499380365.0,57.55,57.95,57.55,57.65,0.5,2870
102/12/10,6866804,396596602.0,57.55,57.9,57.55,57.8,0.15,1562
102/12/11,10106222,585498669.0,57.95,58.3,57.65,57.85,0.05,2213
102/12/12,4216323,241964618.0,57.6,57.6,57.2,57.4,-0.45,1478
102/12/13,5099860,292052296.0,57.1,57.4,57.05,57.35,-0.05,1402
102/12/16,6971824,396351979.0,57.25,57.25,56.7,56.9,-0.45,1845
102/12/17,3090413,176775069.0,57.15,57.3,57.1,57.2,0.3,907
102/12/18,3488194,198913319.0,57.2,57.2,56.85,57.0,-0.2,1013
102/12/19,6051598,347058762.0,57.4,57.5,57.15,57.35,0.35,1163
102/12/20,4317836,247994045.0,57.35,57.55,57.2,57.45,0.1,890
102/12/23,9016858,521687914.0,57.55,58.0,57.55,57.85,0.4,2510
102/12/24,5052909,292130170.0,57.85,57.9,57.7,57.8,-0.05,1644
102/12/25,3321019,192087677.0,57.9,57.95,57.75,57.85,0.05,914
102/12/26,3417207,197708261.0,57.85,57.95,57.8,57.85,0.0,636
102/12/27,12606977,732657190.0,57.8,58.4,57.8,58.3,0.45,3089
102/12/30,18118818,1064065626.0,58.35,58.95,58.35,58.8,0.5,3293
102/12/31,12256516,722130011.0,59.05,59.05,58.7,58.7,-0.1,2036
