date,volume,money,open,high,low,close,change,num
100/04/01,9617427,574322326.0,59.6,59.85,59.6,59.85,0.3,1164
100/04/06,30707811,1869610019.0,60.0,61.4,60.0,61.15,1.3,3989
100/04/07,20231471,1236839275.0,61.35,61.4,60.95,61.3,0.15,2846
100/04/08,11889885,728183992.0,61.25,61.5,61.0,61.1,-0.2,1473
100/04/11,16414041,999423644.0,61.1,61.2,60.75,61.1,0.0,1148
100/04/12,14749678,887467065.0,60.8,60.8,59.85,60.05,-1.05,2007
100/04/13,9151628,549444054.0,59.9,60.4,59.75,60.4,0.35,1018
100/04/14,5748868,346819017.0,60.45,60.7,60.05,60.35,-0.05,1051
100/04/15,3910219,234240402.0,60.4,60.45,59.6,59.65,-0.7,884
100/04/18,5204523,310861684.0,59.75,59.95,59.45,59.55,-0.1,833
100/04/19,14045591,828487193.0,59.35,59.35,58.8,59.2,-0.35,2241
100/04/20,11997322,720350343.0,59.5,60.35,59.5,60.3,1.1,1726
100/04/21,34318593,2109853770.0,60.95,61.8,60.95,61.7,1.4,4141
100/04/22,22105891,1360631513.0,61.8,61.8,61.45,61.6,-0.1,3340
100/04/25,26924950,1655177571.0,61.9,62.0,61.25,61.45,-0.15,2595
100/04/26,23837644,1453699517.0,60.9,61.35,60.7,61.2,-0.25,2384
100/04/27,46502607,2886914483.0,61.75,62.25,61.75,62.15,0.95,3460
100/04/28,30767306,1914440156.0,62.25,62.5,62.0,62.15,0.0,2312
100/04/29,50487944,3134706959.0,62.0,62.4,61.65,62.0,-0.15,2559
