date,volume,money,open,high,low,close,change,num
105/06/01,25001628,1589746611.0,62.95,63.85,62.95,63.7,0.55,3329
105/06/02,13721372,875256815.0,63.7,64.05,63.4,63.7,0.0,2516
105/06/03,11793067,752785548.0,63.6,64.0,63.6,63.85,0.15,1702
105/06/04,3201144,204558077.0,63.75,64.0,63.7,63.95,0.1,833
105/06/06,12991446,833738494.0,64.0,64.6,63.65,64.05,0.1,2642
105/06/07,30837577,1994630619.0,64.3,64.95,64.3,64.9,0.85,4278
105/06/08,26064591,1703251028.0,65.0,65.55,65.0,65.25,0.35,4111
105/06/13,9520123,609293904.0,64.3,64.45,63.7,63.75,-1.5,2267
105/06/14,6411945,410427450.0,63.5,64.2,63.5,64.15,0.4,1384
105/06/15,22583365,1450755086.0,64.15,64.4,63.6,64.25,0.1,3257
105/06/16,8999131,571056385.0,64.1,64.1,63.0,63.35,-0.9,1708
105/06/17,5808972,372933222.0,63.85,64.4,63.85,64.05,0.7,1355
105/06/20,10307567,664917703.0,64.5,64.65,64.35,64.5,0.45,1144
105/06/21,18113336,1172739969.0,64.5,64.95,64.45,64.75,0.25,3911
105/06/22,10556831,684224159.0,64.75,64.95,64.55,64.95,0.2,1141
105/06/23,32188327,2084118216.0,64.8,64.85,64.55,64.8,-0.15,1147
105/06/24,31665065,2008280516.0,64.75,64.9,62.05,63.1,-1.7,5706
105/06/27,4931264,313187141.0,63.2,63.75,63.0,63.75,0.65,1620
105/06/28,5345578,340302885.0,63.1,64.05,63.05,64.0,0.25,1369
105/06/29,9101408,588313462.0,64.15,65.0,64.15,64.7,0.7,2756
105/06/30,25345136,1653395255.0,65.15,65.45,64.65,65.45,0.75,4679
