date,volume,money,open,high,low,close,change,num
 93/07/01,3948000,177103830.0,44.9,45.05,44.65,44.91,0.16,837
 93/07/02,3227000,142001480.0,43.96,44.2,43.9,43.92,-0.99,819
 93/07/05,4476000,194095550.0,43.6,43.68,43.28,43.4,-0.52,726
 93/07/06,4522000,196886380.0,43.4,43.8,43.35,43.8,0.4,563
 93/07/07,2471000,107693860.0,43.3,43.99,43.22,43.9,0.1,619
 93/07/08,3545000,155857130.0,43.9,44.2,43.76,43.82,-0.08,613
 93/07/09,4329000,190399330.0,43.85,44.4,43.71,44.35,0.53,618
 93/07/12,3406000,151135590.0,44.49,44.52,44.04,44.04,-0.31,531
 93/07/13,1739000,76181950.0,43.9,43.98,43.7,43.7,-0.34,420
 93/07/14,3800000,165563560.0,43.75,43.85,43.32,43.32,-0.38,573
 93/07/15,9665000,412460110.0,43.3,43.3,42.4,42.6,-0.72,1345
 93/07/16,3536000,150394090.0,42.41,42.73,42.35,42.38,-0.22,649
 93/07/19,6277000,264920910.0,42.3,42.56,41.95,42.37,-0.01,678
 93/07/20,8764000,365221620.0,42.36,42.36,41.2,41.2,-1.17,1250
 93/07/21,6458000,270971490.0,42.0,42.18,41.65,41.99,0.79,880
 93/07/22,5014000,207350060.0,41.5,41.8,41.12,41.6,-0.39,840
 93/07/23,4087000,170598640.0,41.6,42.15,41.5,41.58,-0.02,675
 93/07/26,4621000,190060480.0,41.2,41.24,41.0,41.2,-0.38,735
 93/07/27,6242000,257945080.0,41.19,42.0,40.9,41.86,0.66,972
 93/07/28,4877000,204065360.0,42.2,42.2,41.55,41.74,-0.12,660
 93/07/29,2526000,104894610.0,41.61,41.72,41.38,41.38,-0.36,525
 93/07/30,4483000,188192230.0,41.7,42.1,41.7,41.91,0.53,710
