date,volume,money,open,high,low,close,change,num
100/11/01,10920775,572049196.0,52.2,52.85,51.85,52.55,0.35,2708
100/11/02,23425870,1214957891.0,51.6,52.5,51.45,52.4,-0.15,4930
100/11/03,29386123,1517921547.0,52.0,52.0,51.45,51.45,-0.95,7694
100/11/04,19730524,1034982347.0,52.2,52.6,52.1,52.3,0.85,4632
100/11/07,5859419,306927169.0,52.3,52.55,52.15,52.4,0.1,1403
100/11/08,13171890,691115178.0,52.4,52.85,52.15,52.15,-0.25,3079
100/11/09,9946467,520521880.0,52.5,52.6,52.1,52.2,0.05,1825
100/11/10,59839061,3037844411.0,51.25,51.25,50.2,50.55,-1.65,15853
100/11/11,15851515,804453382.0,50.65,51.05,50.5,50.9,0.35,4281
100/11/14,22866370,1190190796.0,51.75,52.25,51.75,52.15,1.25,6327
100/11/15,6807952,353585075.0,52.05,52.1,51.75,51.85,-0.3,2021
100/11/16,20231863,1044690193.0,52.15,52.3,51.1,51.2,-0.65,4562
100/11/17,16465794,838253578.0,50.9,51.35,50.5,51.35,0.15,4331
100/11/18,39881720,2013948315.0,50.7,50.8,50.25,50.3,-1.05,10948
100/11/21,46584537,2301241513.0,49.9,49.9,49.12,49.23,-1.07,15116
100/11/22,37161151,1824551499.0,49.23,49.47,48.83,49.02,-0.21,8220
100/11/23,55896531,2689306266.0,48.8,48.86,47.7,47.85,-1.17,15485
100/11/24,38816971,1852249539.0,47.8,48.03,47.28,47.86,0.01,8808
100/11/25,31966850,1522905936.0,48.24,48.46,47.05,47.44,-0.42,8112
100/11/28,17182607,825538052.0,48.08,48.3,47.85,48.29,0.85,4460
100/11/29,13678906,663430312.0,48.75,48.75,48.2,48.72,0.43,4492
100/11/30,13561318,652493375.0,48.5,48.53,47.75,48.08,-0.64,4175
