date,volume,money,open,high,low,close,change,num
102/04/01,3729172,205265726.0,55.1,55.2,54.95,55.0,-0.1,1015
102/04/02,4937409,271289272.0,55.0,55.1,54.7,54.85,-0.15,1448
102/04/03,2925659,160975955.0,55.1,55.15,54.9,55.0,0.15,794
102/04/08,18559790,1002859874.0,54.45,54.5,53.85,53.85,-1.15,5134
102/04/09,7681461,413470694.0,54.0,54.05,53.6,53.7,-0.15,3301
102/04/10,3118305,167629813.0,53.75,53.95,53.6,53.8,0.1,1399
102/04/11,9842030,533757668.0,53.95,54.4,53.95,54.35,0.55,1971
102/04/12,2297003,124825799.0,54.4,54.5,54.2,54.35,0.0,735
102/04/15,4111521,221986028.0,54.25,54.35,53.75,53.9,-0.45,1193
102/04/16,5150419,276686993.0,53.5,54.0,53.45,54.0,0.1,1462
102/04/17,4995060,269565940.0,54.0,54.1,53.85,53.9,-0.1,902
102/04/18,5605761,301895347.0,53.55,54.1,53.55,53.85,-0.05,987
102/04/19,22459000,1237683667.0,54.25,55.5,54.25,55.45,1.6,5315
102/04/22,11412387,633681675.0,55.55,55.65,55.3,55.4,-0.05,2471
102/04/23,3673886,202446391.0,55.4,55.4,54.95,55.1,-0.3,1034
102/04/24,12432393,690770599.0,55.35,55.75,55.25,55.55,0.45,2721
102/04/25,11885352,661449706.0,55.45,55.75,55.4,55.65,0.1,2194
102/04/26,11113050,622403221.0,55.8,56.2,55.8,55.85,0.2,2986
102/04/29,8140413,454738921.0,55.9,56.0,55.75,55.8,-0.05,1781
102/04/30,17616881,994043474.0,56.25,56.55,56.25,56.4,0.6,3793
