date,volume,money,open,high,low,close,change,num
106/10/02,3261192,265639968.0,81.25,81.6,81.25,81.5,0.3,931
106/10/03,1578103,128664783.0,81.55,81.7,81.3,81.5,0.0,573
106/10/05,6407078,524400046.0,81.5,82.1,81.5,81.85,0.35,851
106/10/06,4126781,338645008.0,82.1,82.2,81.95,82.1,0.25,1028
106/10/11,15975456,1328351032.0,82.45,83.4,82.45,83.4,1.3,5338
106/10/12,8770044,736349192.0,83.55,84.2,83.55,84.2,0.8,3463
106/10/13,3596016,301743272.0,83.95,84.05,83.75,84.05,-0.15,1384
106/10/16,4045713,340972938.0,84.05,84.5,84.05,84.5,0.45,1852
106/10/17,3233897,273273995.0,84.55,84.7,84.3,84.3,-0.2,1105
106/10/18,4472628,378300867.0,84.8,85.0,84.3,84.6,0.3,1094
106/10/19,2447441,208033714.0,84.7,85.2,84.7,84.9,0.3,895
106/10/20,1725562,146031654.0,84.4,84.85,84.4,84.55,-0.35,620
106/10/23,1771858,149959192.0,84.7,84.95,84.45,84.5,-0.05,527
106/10/24,1072153,90505455.0,84.5,84.5,84.2,84.4,-0.1,408
106/10/25,2416641,203863633.0,84.3,84.6,84.2,84.35,-0.05,545
106/10/26,3226482,271833233.0,84.15,84.4,84.0,84.25,-0.1,792
106/10/27,2141138,180898607.0,84.3,84.75,84.2,84.3,0.05,561
106/10/30,3357992,285709119.0,85.1,85.35,84.8,84.95,0.65,709
106/10/31,2131434,181429580.0,85.0,85.35,84.8,85.2,0.25,552
