date,volume,money,open,high,low,close,change,num
 94/02/01,7083000,333418840.0,47.1,47.2,46.91,47.08,-0.01,633
 94/02/02,17403000,829453020.0,47.38,47.89,47.38,47.55,0.47,1399
 94/02/03,10379000,494097900.0,47.61,47.75,47.53,47.67,0.12,675
 94/02/14,15342000,745350450.0,48.95,49.0,48.25,48.48,0.81,1178
 94/02/15,8823000,428104620.0,48.51,48.63,48.42,48.49,0.01,732
 94/02/16,5830000,281515720.0,48.55,48.55,48.06,48.4,-0.09,808
 94/02/17,11169000,535695590.0,48.35,48.35,47.7,47.77,-0.63,957
 94/02/18,8696000,416216320.0,47.62,48.04,47.62,47.95,0.18,671
 94/02/21,5249000,252471370.0,48.03,48.2,48.0,48.17,0.22,632
 94/02/22,9332000,446431020.0,48.1,48.1,47.76,47.9,-0.27,545
 94/02/23,7684000,365440210.0,47.48,47.9,47.32,47.9,0.0,604
 94/02/24,2667000,127726510.0,47.62,48.0,47.62,47.93,0.03,384
 94/02/25,26948000,1310027660.0,48.25,48.79,48.25,48.63,0.7,1498
