date,volume,money,open,high,low,close,change,num
105/12/01,1955817,140730135.0,71.6,72.1,71.6,72.0,0.3,666
105/12/02,3307698,235128806.0,71.2,71.2,70.9,71.2,-0.8,736
105/12/05,1388169,98576875.0,71.2,71.2,70.8,71.1,-0.1,367
105/12/06,2435954,175403601.0,71.8,72.2,71.75,72.0,0.9,768
105/12/07,1467377,105807162.0,72.2,72.35,71.9,72.0,0.0,475
105/12/08,6085595,442984227.0,72.3,73.0,72.3,72.9,0.9,1529
105/12/09,5418281,395994807.0,73.05,73.2,72.95,73.15,0.25,1389
105/12/12,3208556,234598867.0,73.3,73.55,72.75,72.85,-0.3,1319
105/12/13,2548640,185727920.0,72.85,73.0,72.65,72.95,0.1,888
105/12/14,2827980,206668707.0,73.2,73.3,72.9,73.1,0.15,1333
105/12/15,3017786,219455120.0,72.55,73.0,72.4,73.0,-0.1,548
105/12/16,2148428,155907874.0,72.8,72.8,72.3,72.3,-0.7,491
105/12/19,2680960,193048170.0,72.25,72.3,71.85,71.85,-0.45,892
105/12/20,2029791,145668837.0,71.95,71.95,71.55,71.75,-0.1,634
105/12/21,9321197,668442424.0,71.75,71.85,71.5,71.7,-0.05,2904
105/12/22,4971537,352951027.0,71.55,71.55,70.8,70.8,-0.9,2011
105/12/23,5125956,361673215.0,70.6,70.85,70.35,70.55,-0.25,1671
105/12/26,2104929,148795659.0,70.65,70.8,70.55,70.8,0.25,740
105/12/27,2494279,176416611.0,70.8,70.9,70.65,70.75,-0.05,613
105/12/28,3686010,263088848.0,70.85,71.6,70.85,71.6,0.85,885
105/12/29,1911106,136351033.0,71.45,71.45,71.2,71.25,-0.35,685
105/12/30,2726453,195669616.0,71.65,72.0,71.55,71.8,0.55,660
