date,volume,money,open,high,low,close,change,num
105/08/01,10407371,720963537.0,68.8,69.45,68.8,69.3,0.75,1682
105/08/02,7116974,492812674.0,69.25,69.4,69.1,69.3,0.0,1216
105/08/03,13801107,946584522.0,68.5,68.9,68.05,68.75,-0.55,1470
105/08/04,10674699,733253890.0,68.85,68.95,68.35,68.9,0.15,1144
105/08/05,12422864,864171627.0,69.1,69.75,68.9,69.6,0.7,2242
105/08/08,7902947,553043688.0,70.0,70.25,69.7,70.05,0.45,1664
105/08/09,11568485,812755084.0,70.0,70.45,69.95,70.4,0.35,2128
105/08/10,6497798,457603790.0,70.3,70.6,70.05,70.6,0.2,1312
105/08/11,10903420,764847436.0,70.2,70.55,69.45,69.95,-0.65,1445
105/08/12,5258706,369627870.0,70.15,70.5,70.05,70.2,0.25,1246
105/08/15,4797475,337198175.0,70.2,70.5,69.9,70.35,0.15,869
105/08/16,4431992,310743190.0,70.3,70.5,69.7,69.95,-0.4,1249
105/08/17,8925360,624761250.0,69.9,70.1,69.75,70.05,0.1,3274
105/08/18,3275034,229222344.0,70.0,70.15,69.8,69.9,-0.15,559
105/08/19,8299801,577768663.0,69.9,70.45,69.2,69.2,-0.7,1432
105/08/22,7083411,486606651.0,69.0,69.15,68.45,68.7,-0.5,1495
105/08/23,7084009,491063695.0,68.9,69.6,68.9,69.4,0.7,851
105/08/24,5071479,351620508.0,69.35,69.55,69.2,69.2,-0.2,585
105/08/25,8022568,560917960.0,69.3,70.15,69.3,70.0,0.8,1233
105/08/26,2991939,209743380.0,69.95,70.3,69.8,70.1,0.1,786
105/08/29,3554924,247992994.0,69.9,70.15,69.2,70.05,-0.05,829
105/08/30,3791222,265330977.0,70.0,70.25,69.8,70.0,-0.05,647
105/08/31,5206081,362946724.0,69.85,70.05,69.3,69.4,-0.6,1043
