date,volume,money,open,high,low,close,change,num
104/10/01,11986849,756664703.0,62.6,63.7,62.2,63.6,1.2,2636
104/10/02,7571907,479582469.0,63.35,63.6,63.1,63.25,-0.35,1083
104/10/05,5383188,342143611.0,63.8,64.0,63.25,63.4,0.15,1393
104/10/06,8300522,533161323.0,64.15,64.7,63.85,63.9,0.5,2059
104/10/07,8637044,557000564.0,63.9,64.85,63.9,64.85,0.95,2304
104/10/08,12360377,803154003.0,65.1,65.3,64.6,64.7,-0.15,1896
104/10/12,17465643,1144859053.0,65.05,65.9,65.05,65.55,0.85,3323
104/10/13,7489789,489761011.0,65.6,65.65,65.15,65.3,-0.25,1921
104/10/14,7135958,464717839.0,65.3,65.3,64.95,65.05,-0.25,1491
104/10/15,14357990,948629290.0,65.65,66.35,65.65,66.0,0.95,3011
104/10/16,8189426,538694821.0,65.95,66.0,65.6,65.75,-0.25,1613
104/10/19,7411159,488570053.0,66.0,66.2,65.7,65.95,0.2,1305
104/10/20,4526773,298526370.0,66.0,66.1,65.8,65.95,0.0,1050
104/10/21,11498457,755187599.0,66.1,66.15,65.4,65.5,-0.45,2296
104/10/22,8066236,527859177.0,65.3,65.6,65.25,65.5,0.0,1534
104/10/23,20687758,1367594228.0,66.2,66.5,65.85,65.9,0.4,2965
104/10/26,12082040,780928000.0,64.5,64.85,64.45,64.55,0.0,1757
104/10/27,5723238,367024006.0,64.5,64.55,63.95,64.2,-0.35,1825
104/10/28,5075690,323952193.0,64.2,64.25,63.6,63.75,-0.45,1655
104/10/29,8413837,533508526.0,64.1,64.3,63.1,63.3,-0.45,2871
104/10/30,5991825,378136344.0,63.3,63.45,62.8,63.2,-0.1,2399
