date,volume,money,open,high,low,close,change,num
 93/11/01,1630000,72630560.0,44.75,44.84,44.16,44.29,-0.43,410
 93/11/02,2759000,123507320.0,44.31,45.21,44.31,45.2,0.91,575
 93/11/03,9666000,442654710.0,45.2,46.05,45.2,46.02,0.82,1015
 93/11/04,10320000,475852030.0,46.0,46.45,45.85,46.2,0.18,802
 93/11/05,14989000,701535890.0,47.0,47.2,46.56,46.93,0.73,1006
 93/11/08,6190000,289511250.0,46.92,46.93,46.62,46.81,-0.12,635
 93/11/09,7071000,330263450.0,46.85,46.86,46.5,46.81,0.0,548
 93/11/10,11687000,547243060.0,47.0,47.05,46.59,46.85,0.04,635
 93/11/11,6506000,301178760.0,46.85,46.85,46.0,46.0,-0.85,730
 93/11/12,10154000,473316370.0,46.23,46.93,46.23,46.51,0.51,897
 93/11/15,10648000,499385260.0,46.97,47.05,46.6,46.6,0.09,568
 93/11/16,10298000,481605410.0,46.6,46.95,46.6,46.78,0.18,493
 93/11/17,26781000,1268802790.0,46.8,47.69,46.79,47.6,0.82,1626
 93/11/18,17522000,837419440.0,47.7,47.96,47.6,47.6,0.0,1074
 93/11/19,9392000,447219000.0,47.65,47.8,47.4,47.4,-0.2,663
 93/11/22,8088000,374028660.0,46.8,46.96,45.75,45.75,-1.65,1608
 93/11/23,4066000,185890530.0,45.8,45.98,45.3,45.8,0.05,760
 93/11/24,5439000,250734210.0,45.88,46.35,45.88,46.35,0.55,624
 93/11/25,1774000,81645530.0,46.35,46.35,45.9,46.03,-0.32,305
 93/11/26,6247000,288101290.0,46.2,46.5,45.46,45.46,-0.57,815
 93/11/29,4770000,216662180.0,45.45,45.6,45.25,45.55,0.09,628
 93/11/30,12616000,571340980.0,45.32,45.7,44.88,45.5,-0.05,1212
