date,volume,money,open,high,low,close,change,num
 99/08/02,12724082,697944083.0,54.35,55.2,54.35,54.95,1.05,2608
 99/08/03,8049682,443670275.0,55.05,55.3,54.95,55.2,0.25,1457
 99/08/04,7131519,393332395.0,55.0,55.3,54.95,55.1,-0.1,1079
 99/08/05,9995481,551369712.0,55.25,55.45,54.85,55.05,-0.05,1132
 99/08/06,11550901,636191933.0,54.9,55.25,54.9,55.2,0.15,1030
 99/08/09,10803836,599683827.0,55.1,55.65,55.1,55.5,0.3,1521
 99/08/10,7592888,421039630.0,55.5,55.7,55.2,55.4,-0.1,904
 99/08/11,5770212,316690984.0,55.0,55.2,54.55,54.7,-0.7,1058
 99/08/12,7186464,389834957.0,54.1,54.45,54.0,54.25,-0.45,1297
 99/08/13,6844263,373178144.0,54.3,55.0,54.3,54.85,0.6,863
 99/08/16,4168210,227991817.0,54.45,55.05,54.3,55.0,0.15,676
 99/08/17,3215750,176637550.0,54.85,55.0,54.75,54.95,-0.05,481
 99/08/18,5574191,305424970.0,55.0,55.05,54.4,54.65,-0.3,639
 99/08/19,3761705,205909807.0,54.65,55.0,54.5,54.95,0.3,490
 99/08/20,5175489,283646913.0,54.85,54.95,54.65,54.95,0.0,444
 99/08/23,7551173,417513148.0,54.85,55.6,54.7,55.3,0.35,1030
 99/08/24,6661090,366609963.0,55.0,55.25,54.9,54.95,-0.35,899
 99/08/25,13856747,749592832.0,54.3,54.5,53.85,53.95,-1.0,2076
 99/08/26,9343642,502592295.0,53.9,53.95,53.6,53.6,-0.35,1245
 99/08/27,8466348,454575678.0,53.6,53.9,53.45,53.85,0.25,1000
 99/08/30,8229849,446720885.0,54.3,54.6,53.95,54.1,0.25,1382
 99/08/31,8911993,475561064.0,53.7,53.7,53.15,53.3,-0.8,1801
