date,volume,money,open,high,low,close,change,num
 98/07/01,11821250,533591475.0,44.48,45.65,44.45,45.45,0.99,3188
 98/07/02,9709303,444727248.0,45.6,46.0,45.48,45.9,0.45,2031
 98/07/03,9049299,413608782.0,45.45,46.1,45.4,45.8,-0.1,1681
 98/07/06,10663045,486266117.0,45.8,45.9,45.36,45.69,-0.11,1283
 98/07/07,12661339,583974894.0,45.4,46.37,45.4,46.19,0.5,2106
 98/07/08,11669578,532152766.0,45.77,45.86,45.42,45.66,-0.53,1811
 98/07/09,13116887,610022845.0,45.88,46.75,45.8,46.5,0.84,3158
 98/07/10,14027154,652998491.0,46.62,46.88,46.37,46.78,0.28,1436
 98/07/13,13232100,604645479.0,46.75,47.1,45.0,45.3,-1.48,2497
 98/07/14,4057761,185971933.0,45.68,46.19,45.59,46.14,0.84,1129
 98/07/15,13131382,616617627.0,46.37,47.21,46.37,47.05,0.91,2561
 98/07/16,12526414,597143759.0,47.6,47.88,47.21,47.45,0.4,2294
 98/07/17,8496295,405994820.0,47.6,48.07,47.34,47.87,0.42,1884
 98/07/20,12437824,600718523.0,48.42,48.51,47.87,48.5,0.63,2117
 98/07/21,6921811,335543260.0,48.5,48.67,48.05,48.4,-0.1,1644
 98/07/22,7382453,359737204.0,48.7,48.95,48.35,48.48,0.08,1564
 98/07/23,8035038,390105030.0,48.48,48.8,48.0,48.51,0.03,1652
 98/07/24,8710352,424032578.0,48.8,49.0,48.29,48.38,-0.13,1358
 98/07/27,10514904,512140846.0,48.5,49.2,48.41,48.83,0.45,1539
 98/07/28,12008153,594066742.0,48.83,49.78,48.83,49.7,0.87,2128
 98/07/29,7487888,370504031.0,49.7,49.94,49.04,49.35,-0.35,1615
 98/07/30,8150446,396466179.0,49.12,49.2,48.13,48.85,-0.5,1636
 98/07/31,13207439,652064633.0,49.11,49.58,48.95,49.02,0.17,1629
