date,volume,money,open,high,low,close,change,num
 97/03/03,13932227,819874479.0,59.25,59.3,58.35,59.15,-1.7,2541
 97/03/04,8538901,513420168.0,59.0,60.7,59.0,60.7,1.55,1911
 97/03/05,9571250,582344800.0,60.7,61.25,60.45,60.9,0.2,1729
 97/03/06,11445348,706449728.0,61.1,62.3,61.0,62.3,1.4,2134
 97/03/07,9138935,563239349.0,61.5,62.2,61.35,61.4,-0.9,1599
 97/03/10,15582677,935938370.0,61.0,61.5,59.55,59.6,-1.8,2525
 97/03/11,11909430,708874865.0,59.1,60.15,58.9,60.1,0.5,1715
 97/03/12,13038800,797601390.0,61.9,61.9,60.5,60.65,0.55,2165
 97/03/13,13487148,806018426.0,60.55,60.6,59.0,59.1,-1.55,2257
 97/03/14,19597463,1155246495.0,59.55,59.75,58.25,58.45,-0.65,2361
 97/03/17,26911511,1539070176.0,57.25,57.8,56.65,57.35,-1.1,3826
 97/03/18,25771940,1482618489.0,57.5,58.0,57.1,57.9,0.55,2192
 97/03/19,14920582,877340538.0,58.95,59.05,58.2,58.5,0.6,2874
 97/03/20,28061420,1651058240.0,58.5,60.0,58.2,59.95,1.45,3165
 97/03/21,16022536,978240082.0,60.8,61.55,60.5,61.55,1.6,3766
 97/03/24,52016390,3360768684.0,65.85,65.85,63.45,64.15,2.6,7622
 97/03/25,35087626,2223301193.0,64.25,64.25,62.8,63.05,-1.1,5251
 97/03/26,17717680,1113721733.0,63.15,63.4,62.35,62.4,-0.65,2779
 97/03/27,23735275,1458975193.0,62.35,62.35,61.05,61.2,-1.2,4369
 97/03/28,17458436,1073087603.0,61.1,62.0,61.05,62.0,0.8,2567
 97/03/31,14034562,850127324.0,61.55,61.55,60.25,60.45,-1.55,3172
