date,volume,money,open,high,low,close,change,num
 93/04/01,4722000,230197700.0,49.3,49.3,48.4,48.7,-0.29,622
 93/04/02,1968000,96493740.0,49.0,49.2,48.9,48.91,0.21,307
 93/04/05,5805000,288708240.0,49.5,50.5,49.19,50.0,1.09,668
 93/04/06,3052000,153128790.0,50.2,50.45,49.9,49.92,-0.08,441
 93/04/07,797000,39784360.0,49.93,49.98,49.8,49.87,-0.05,204
 93/04/08,3677000,183962470.0,49.9,50.1,49.9,50.1,0.23,275
 93/04/09,1493000,74283700.0,49.9,49.9,49.6,49.8,-0.3,314
 93/04/12,8506000,431238900.0,50.05,51.05,50.05,50.95,1.15,725
 93/04/13,4769000,242874600.0,50.95,51.1,50.7,50.85,-0.1,358
 93/04/14,7859000,400888050.0,50.35,51.4,50.35,51.4,0.55,463
 93/04/15,13174000,673202600.0,51.4,51.6,50.35,50.4,-1.0,600
 93/04/16,12879000,655913850.0,50.4,51.35,50.35,51.15,0.75,517
 93/04/19,5415000,276703050.0,51.2,51.3,50.85,50.9,-0.25,347
 93/04/20,8261000,422935700.0,51.5,51.5,50.9,50.9,0.0,609
 93/04/21,5493000,281252450.0,50.8,51.35,50.8,51.25,0.35,244
 93/04/22,11949000,617793600.0,51.4,52.2,50.3,50.5,-0.75,723
 93/04/23,6594000,335720450.0,50.7,51.15,50.7,50.8,0.3,376
 93/04/26,2449000,124846600.0,50.8,51.15,50.8,50.9,0.1,224
 93/04/27,2429000,122460350.0,50.9,50.9,50.1,50.4,-0.5,445
 93/04/28,3648000,182577450.0,50.4,50.55,49.8,49.95,-0.45,451
 93/04/29,6398000,312929040.0,49.58,49.7,48.38,48.69,-1.26,1129
 93/04/30,31243000,1466449980.0,48.35,48.5,45.8,47.5,-1.19,2285
