date,volume,money,open,high,low,close,change,num
 97/02/01,8820545,493691951.0,55.45,56.6,55.2,56.4,1.45,2111
 97/02/12,6005857,330968535.0,55.15,55.8,54.85,54.95,-1.45,1455
 97/02/13,6324215,349698825.0,55.25,55.6,54.7,54.8,-0.15,1139
 97/02/14,12638527,717823648.0,56.3,57.8,56.15,57.8,3.0,2805
 97/02/15,8805639,502609641.0,56.9,57.5,56.65,57.3,-0.5,1417
 97/02/18,4977858,286056606.0,57.85,57.9,57.0,57.2,-0.1,1248
 97/02/19,5145960,296501321.0,57.6,58.0,57.25,58.0,0.8,1165
 97/02/20,5486550,315207674.0,57.7,58.0,56.8,56.9,-1.1,1364
 97/02/21,6308722,366500125.0,57.7,58.55,57.55,58.55,1.65,1923
 97/02/22,7577150,442204900.0,58.1,58.8,57.75,58.8,0.25,1161
 97/02/25,9527448,569906075.0,59.5,60.1,59.2,60.0,1.2,2278
 97/02/26,21035523,1269307730.0,60.35,60.55,59.8,60.2,0.2,1918
 97/02/27,18934761,1149256240.0,60.85,60.9,60.5,60.7,0.5,1800
 97/02/29,6043040,366476990.0,60.3,61.1,60.3,60.85,0.15,1222
