date,volume,money,open,high,low,close,change,num
101/06/01,13961446,689000920.0,49.85,49.85,49.1,49.15,-1.0,4151
101/06/04,37179608,1775879110.0,48.2,48.2,47.45,47.68,-1.47,10311
101/06/05,9722549,469561821.0,48.42,48.45,48.04,48.3,0.62,3003
101/06/06,5408098,262472961.0,48.4,48.72,48.22,48.63,0.33,2064
101/06/07,6003935,293399154.0,49.1,49.12,48.63,48.74,0.11,2293
101/06/08,12950511,622569125.0,48.57,48.6,47.9,48.0,-0.74,3336
101/06/11,8363770,409171910.0,48.86,49.07,48.65,48.99,0.99,2170
101/06/12,5161000,249848160.0,48.1,48.61,48.1,48.61,-0.38,1314
101/06/13,3990825,194038682.0,48.61,48.83,48.46,48.71,0.1,1485
101/06/14,3406033,166321935.0,48.71,49.0,48.63,48.78,0.07,1230
101/06/15,6219720,305647702.0,48.78,49.4,48.68,49.4,0.62,1968
101/06/18,9888425,496282665.0,50.4,50.5,50.0,50.2,0.8,3083
101/06/19,7268598,363095397.0,50.0,50.1,49.86,49.91,-0.29,1385
101/06/20,9657087,485881114.0,50.15,50.45,50.15,50.45,0.54,2133
101/06/21,4587460,229558989.0,50.2,50.3,49.88,50.15,-0.3,1334
101/06/22,6191984,306255391.0,49.2,49.62,49.2,49.56,-0.59,2197
101/06/25,7112729,349548894.0,49.04,49.29,49.03,49.2,-0.36,1899
101/06/26,15276201,748240815.0,49.0,49.1,48.85,48.99,-0.21,2307
101/06/27,7521013,370467369.0,48.88,49.5,48.86,49.45,0.46,1437
101/06/28,10454140,517726577.0,49.7,49.75,49.43,49.53,0.08,1881
101/06/29,13651507,681895217.0,49.48,50.3,49.35,50.2,0.67,2362
