date,volume,money,open,high,low,close,change,num
101/03/01,20105093,1126509659.0,55.95,56.2,55.85,55.9,-0.1,2732
101/03/02,9084860,506340458.0,56.0,56.1,55.55,55.6,-0.3,1494
101/03/03,9221806,510988015.0,55.5,55.55,55.3,55.4,-0.2,1350
101/03/05,17881179,981912838.0,55.3,55.35,54.8,54.85,-0.55,2770
101/03/06,16219461,883459834.0,54.9,55.05,54.1,54.6,-0.25,2983
101/03/07,11160667,605163704.0,54.0,54.5,54.0,54.4,-0.2,1509
101/03/08,15208959,830033429.0,54.4,54.9,54.15,54.7,0.3,2019
101/03/09,12918735,708020242.0,54.7,55.05,54.45,54.95,0.25,1680
101/03/12,10019478,547427578.0,55.0,55.0,54.35,54.35,-0.6,1853
101/03/13,18507456,1018488014.0,54.6,55.3,54.6,55.1,0.75,2204
101/03/14,23963909,1341865203.0,56.05,56.2,55.75,55.9,0.8,3640
101/03/15,7323511,407920549.0,55.75,55.9,55.5,55.65,-0.25,1224
101/03/16,8511788,472800550.0,55.5,55.7,55.4,55.4,-0.25,1396
101/03/19,13386685,737058667.0,55.45,55.65,54.8,55.25,-0.15,1368
101/03/20,6615005,363471565.0,55.35,55.35,54.7,54.85,-0.4,1134
101/03/21,7561144,415736421.0,54.85,55.2,54.8,54.85,0.0,1125
101/03/22,12651661,702269084.0,54.95,55.75,54.95,55.6,0.75,2142
101/03/23,5429629,300934713.0,55.45,55.6,55.3,55.45,-0.15,741
101/03/26,9786648,535418890.0,55.0,55.25,54.45,54.55,-0.9,2187
101/03/27,10106090,555806364.0,54.8,55.25,54.75,55.25,0.7,1486
101/03/28,12034547,667844058.0,55.45,55.85,55.2,55.45,0.2,1798
101/03/29,10460778,571795790.0,55.2,55.2,54.35,54.7,-0.75,2530
101/03/30,8895286,485424630.0,54.5,54.9,54.2,54.9,0.2,1591
