date,volume,money,open,high,low,close,change,num
 96/02/01,4300000,244843850.0,57.3,57.3,56.55,56.75,0.05,423
 96/02/02,2830000,162110400.0,57.05,57.5,57.05,57.4,0.65,361
 96/02/05,5746000,329578650.0,57.4,57.55,57.2,57.3,-0.1,330
 96/02/06,2963000,170476550.0,57.35,57.85,57.3,57.8,0.5,365
 96/02/07,3809000,220454250.0,57.8,58.0,57.7,57.85,0.05,345
 96/02/08,4553000,263471600.0,58.05,58.05,57.5,57.8,-0.05,391
 96/02/09,4620000,267511850.0,57.65,58.1,57.65,57.75,-0.05,358
 96/02/12,14262000,817854400.0,57.65,57.65,57.05,57.2,-0.55,808
 96/02/13,9622100,546981999.0,56.9,57.25,56.55,56.7,-0.5,868
 96/02/14,3203040,182491700.0,56.95,57.2,56.85,57.15,0.45,344
 96/02/26,11768000,682005150.0,57.7,58.2,57.7,57.95,0.8,763
 96/02/27,3151000,182451250.0,58.05,58.05,57.75,57.75,-0.2,379
