date,volume,money,open,high,low,close,change,num
105/05/03,9711627,591944096.0,61.6,61.6,60.7,60.75,-0.85,4271
105/05/04,14504138,873689263.0,60.75,60.85,59.8,60.1,-0.65,5844
105/05/05,14591369,873837755.0,60.1,60.25,59.65,60.2,0.1,4651
105/05/06,22004644,1312341590.0,60.0,60.0,59.45,59.7,-0.5,4243
105/05/09,14499071,865314510.0,59.9,60.0,59.4,59.7,0.0,3032
105/05/10,13152643,786853240.0,59.7,60.2,59.4,60.0,0.3,3771
105/05/11,19053550,1140114831.0,60.2,60.3,59.55,59.85,-0.15,4160
105/05/12,13397317,801007370.0,59.7,60.0,59.65,59.8,-0.05,2080
105/05/13,29668619,1756484413.0,59.55,59.55,59.0,59.15,-0.65,6218
105/05/16,6645541,395168030.0,59.15,59.7,59.1,59.6,0.45,1544
105/05/17,12344892,736147664.0,59.65,60.1,59.25,60.05,0.45,2582
105/05/18,8579957,512035693.0,59.7,60.0,59.25,59.95,-0.1,2036
105/05/19,8050497,479673191.0,60.0,60.05,59.3,59.65,-0.3,1960
105/05/20,8126104,487897879.0,59.85,60.3,59.6,60.0,0.35,2303
105/05/23,21664315,1324826930.0,60.1,62.0,59.85,62.0,2.0,5021
105/05/24,6417840,395104208.0,61.75,61.85,61.35,61.35,-0.65,1841
105/05/25,25858751,1604437512.0,61.75,62.25,61.75,62.0,0.65,3726
105/05/26,26044897,1616085071.0,62.05,62.15,61.8,62.15,0.15,2207
105/05/27,25759714,1608299432.0,62.4,62.65,62.2,62.6,0.45,3211
105/05/30,26912233,1692323404.0,62.6,63.35,62.5,63.15,0.55,3555
105/05/31,8678987,547637441.0,63.05,63.35,62.8,63.15,0.0,2005
