date,volume,money,open,high,low,close,change,num
 96/08/01,16125180,1042203962.0,65.8,65.8,63.1,63.3,-3.0,2247
 96/08/02,13237200,843202140.0,64.0,64.5,62.9,64.4,1.1,1632
 96/08/03,19225000,1251109900.0,65.0,65.5,64.75,65.3,0.9,938
 96/08/06,10716100,687010230.0,63.8,64.7,63.7,64.65,-0.65,1099
 96/08/07,5691050,367421355.0,65.3,65.3,63.8,63.9,-0.75,921
 96/08/08,17377300,1122555610.0,64.2,65.2,64.1,65.2,1.3,877
 96/08/09,20097100,1322531600.0,65.9,66.1,65.45,65.75,0.55,972
 96/08/10,8713949,556519896.0,63.55,64.3,63.55,64.0,-1.75,1366
 96/08/13,15004500,959860323.0,64.0,64.4,63.7,63.85,-0.15,763
 96/08/14,18188710,1165149345.0,63.85,64.5,63.4,64.5,0.65,851
 96/08/15,9247500,579081750.0,63.5,63.5,61.9,62.15,-2.35,2161
 96/08/16,17825710,1074902320.0,61.95,61.95,58.2,59.6,-2.55,3019
 96/08/17,14138820,843538270.0,59.6,61.0,58.5,59.65,0.05,2210
 96/08/20,15247977,942927863.0,61.5,62.45,61.25,62.35,2.7,2000
 96/08/21,8464600,526513419.0,62.35,62.6,61.65,61.75,-0.6,1136
 96/08/22,12306608,765238758.0,62.0,62.5,61.75,62.45,0.7,676
 96/08/23,22638600,1447349138.0,64.0,64.1,63.65,64.0,1.55,1392
 96/08/24,11511457,730837269.0,63.3,63.7,63.2,63.5,-0.5,612
 96/08/27,12646188,811229882.0,64.0,64.4,63.75,63.8,0.3,907
 96/08/28,1707340,108784310.0,63.8,64.2,63.4,63.85,0.05,473
 96/08/29,4168658,261300982.0,62.6,63.1,62.45,63.0,-0.85,827
 96/08/30,6173533,394948254.0,63.8,64.35,63.55,63.8,0.8,793
 96/08/31,5982749,387998208.0,64.15,65.6,64.0,65.6,1.8,1175
