date,volume,money,open,high,low,close,change,num
100/05/03,26662296,1648530949.0,62.2,62.3,61.5,62.15,0.15,1727
100/05/04,19729723,1212549276.0,61.6,61.8,61.1,61.8,-0.35,1522
100/05/05,22314131,1383075601.0,61.4,62.35,61.3,62.25,0.45,2059
100/05/06,24042654,1488027798.0,61.9,62.05,61.65,61.95,-0.3,2180
100/05/09,15561987,970800826.0,62.1,62.6,61.9,62.3,0.35,1490
100/05/10,8415421,523328016.0,62.3,62.3,62.05,62.3,0.0,823
100/05/11,9690783,602825100.0,62.5,62.5,61.95,62.05,-0.25,1013
100/05/12,17883859,1106475609.0,61.7,62.4,61.55,62.25,0.2,1815
100/05/13,7629363,473373975.0,62.25,62.25,61.9,62.05,-0.2,1097
100/05/16,16444896,1012125325.0,61.95,61.95,61.25,61.3,-0.75,1945
100/05/17,16743572,1023690753.0,61.2,61.45,60.95,61.25,-0.05,1892
100/05/18,5864502,359578917.0,61.2,61.6,61.15,61.6,0.35,675
100/05/19,17153738,1057115739.0,61.6,62.1,61.05,61.05,-0.55,1538
100/05/20,15265328,934690230.0,61.25,61.5,60.9,61.1,0.05,1903
100/05/23,38595445,2327332964.0,60.8,60.8,60.0,60.35,-0.75,3025
100/05/24,26103703,1573207657.0,60.3,60.45,60.05,60.45,0.1,1546
100/05/25,22809627,1369585578.0,60.1,60.4,59.8,60.25,-0.2,2224
100/05/26,7274217,439654243.0,60.35,60.85,60.2,60.85,0.6,1141
100/05/27,11665509,708464510.0,60.65,61.0,60.5,60.6,-0.25,1054
100/05/30,10601687,640953593.0,60.4,60.75,60.0,60.5,-0.1,882
100/05/31,10825421,665427980.0,60.8,62.0,60.8,62.0,1.5,1902
