date,volume,money,open,high,low,close,change,num
101/12/03,11201079,600296733.0,53.55,53.8,53.2,53.5,-0.05,2355
101/12/04,10697131,569376397.0,53.05,53.45,53.05,53.45,-0.05,1883
101/12/05,13587588,726432991.0,53.3,53.8,53.1,53.75,0.3,2378
101/12/06,11294944,605387670.0,53.75,53.75,53.45,53.6,-0.15,1265
101/12/07,16314379,879442528.0,53.65,54.05,53.65,53.9,0.3,2555
101/12/10,9932783,534102179.0,53.9,54.05,53.5,53.7,-0.2,1325
101/12/11,8904629,476963059.0,53.65,53.8,53.3,53.65,-0.05,1489
101/12/12,18649618,1008894172.0,53.8,54.3,53.8,54.1,0.45,3439
101/12/13,22337289,1217806436.0,54.3,54.8,54.25,54.7,0.6,3521
101/12/14,9058714,492300198.0,54.6,54.6,54.2,54.2,-0.5,1973
101/12/17,5560398,298483207.0,54.2,54.2,53.4,53.5,-0.7,2048
101/12/18,6360924,340477615.0,53.75,53.75,53.4,53.55,0.05,971
101/12/19,4659401,250353021.0,53.95,53.95,53.6,53.7,0.15,999
101/12/20,7276056,387311716.0,53.35,53.5,53.05,53.05,-0.65,1720
101/12/21,11689407,615644971.0,53.05,53.2,52.4,52.8,-0.25,3397
101/12/22,4238584,224049465.0,52.6,53.0,52.6,52.95,0.15,1454
101/12/24,4391649,231942415.0,52.9,53.05,52.65,52.7,-0.25,1036
101/12/25,11578037,618370432.0,52.75,53.7,52.75,53.6,0.9,2272
101/12/26,18127897,971241798.0,53.6,53.75,53.4,53.5,-0.1,1633
101/12/27,11013548,588266868.0,53.2,53.6,53.2,53.45,-0.05,1744
101/12/28,19932723,1072073599.0,53.7,53.95,53.65,53.8,0.35,2088
