date,volume,money,open,high,low,close,change,num
104/03/02,6589376,461349421.0,70.3,70.55,69.75,70.0,-0.3,1449
104/03/03,5067933,353130410.0,70.05,70.1,69.5,69.9,-0.1,1071
104/03/04,6414710,448582000.0,69.55,70.05,69.5,69.95,0.05,1053
104/03/05,3761886,261883714.0,69.95,70.0,69.35,69.7,-0.25,1037
104/03/06,3067298,213689528.0,69.55,69.9,69.3,69.8,0.1,680
104/03/09,7464997,515792426.0,69.45,69.5,68.9,69.1,-0.7,1781
104/03/10,6958375,479061142.0,69.0,69.05,68.6,68.95,-0.15,1347
104/03/11,10039248,689232863.0,68.35,69.15,68.3,69.05,0.1,1081
104/03/12,5710306,396200162.0,68.85,69.65,68.8,69.65,0.6,1096
104/03/13,4527676,315257661.0,69.65,69.75,69.45,69.45,-0.2,890
104/03/16,6079977,420077392.0,69.35,69.35,68.85,68.9,-0.55,1125
104/03/17,7096344,491872167.0,69.2,69.75,69.0,69.15,0.25,1282
104/03/18,18621093,1302008460.0,69.2,70.15,69.2,69.9,0.75,2655
104/03/19,12488588,882632438.0,70.5,70.9,70.25,70.65,0.75,2611
104/03/20,4499069,317484302.0,70.65,70.65,70.4,70.55,-0.1,1165
104/03/23,7600178,537702369.0,70.55,70.9,70.45,70.75,0.2,1207
104/03/24,4504710,317852515.0,70.55,70.85,70.35,70.5,-0.25,852
104/03/25,4458758,313055355.0,70.5,70.6,70.1,70.25,-0.25,971
104/03/26,9508125,659426427.0,69.4,69.7,69.15,69.4,-0.85,2025
104/03/27,10014444,690644936.0,69.4,69.4,68.65,68.75,-0.65,2367
104/03/30,10353567,711624155.0,68.75,68.9,68.55,68.8,0.05,2088
104/03/31,7643034,527392233.0,69.0,69.25,68.8,69.05,0.25,1735
