date,volume,money,open,high,low,close,change,num
 93/05/03,13192000,611433900.0,47.1,47.1,45.9,45.95,-1.55,1386
 93/05/04,5530000,257352020.0,46.3,47.0,46.06,47.0,1.05,972
 93/05/05,7810000,356041070.0,47.1,47.1,44.7,44.7,-2.3,1399
 93/05/06,6536000,295386370.0,45.5,45.7,44.65,45.3,0.6,893
 93/05/07,5232000,238236140.0,45.0,45.9,45.0,45.75,0.45,557
 93/05/10,6852000,306414880.0,45.15,45.15,44.4,44.6,-1.15,859
 93/05/11,6260000,277099650.0,44.6,45.1,43.7,44.72,0.12,939
 93/05/12,2610000,118837360.0,45.37,45.75,45.2,45.5,0.78,687
 93/05/13,2392000,107800100.0,45.3,45.35,44.8,45.0,-0.5,435
 93/05/14,3577000,159089360.0,45.3,45.42,44.1,44.1,-0.9,687
 93/05/17,17932000,748123560.0,43.51,43.51,41.02,41.02,-3.08,2083
 93/05/18,8184000,342546610.0,41.1,42.55,41.1,41.7,0.68,1342
 93/05/19,10694000,472299050.0,43.4,44.61,42.7,44.61,2.91,1340
 93/05/20,13113000,584407650.0,44.2,45.35,43.85,44.5,-0.11,1649
 93/05/21,6032000,272521560.0,44.5,45.59,44.11,45.21,0.71,1164
 93/05/24,3770000,170318430.0,45.0,45.69,44.5,45.12,-0.09,757
 93/05/25,4675000,211346530.0,45.0,45.6,44.65,44.95,-0.17,745
 93/05/26,6749000,310936460.0,46.49,46.49,45.77,45.95,1.0,867
 93/05/27,2306000,105840160.0,46.0,46.1,45.76,45.95,0.0,455
 93/05/28,1952000,90180870.0,46.15,46.3,46.1,46.3,0.35,499
 93/05/31,3244000,148147100.0,46.3,46.31,45.3,45.35,-0.95,620
