date,volume,money,open,high,low,close,change,num
 94/07/01,4936000,233065080.0,47.3,47.6,46.99,47.58,0.09,436
 94/07/04,1549000,73437320.0,47.58,47.58,47.3,47.32,-0.26,170
 94/07/05,3815000,179720300.0,47.3,47.33,47.01,47.03,-0.29,250
 94/07/06,3774000,177824730.0,47.05,47.18,47.03,47.13,0.1,273
 94/07/07,1967000,92307090.0,47.0,47.0,46.85,46.86,-0.27,288
 94/07/08,2734001,128444666.0,46.9,47.08,46.81,47.01,0.15,308
 94/07/11,8549000,406323920.0,47.38,47.95,47.3,47.95,0.94,559
 94/07/12,15505001,747271797.0,48.02,48.4,48.02,48.4,0.45,696
 94/07/13,10392000,503652340.0,48.21,48.68,48.21,48.57,0.17,568
 94/07/14,12710000,619847640.0,48.61,48.99,48.57,48.89,0.32,581
 94/07/15,13316000,652434750.0,48.94,49.07,48.9,48.99,0.1,578
 94/07/19,7126000,347757280.0,48.89,48.95,48.68,48.95,-0.04,350
 94/07/20,17525000,859758190.0,48.91,49.32,48.87,49.0,0.05,577
 94/07/21,11867000,584137250.0,49.04,49.5,48.82,48.91,-0.09,595
 94/07/22,3907000,190714870.0,48.78,48.91,48.7,48.7,-0.21,298
 94/07/25,5981000,292923190.0,48.81,49.11,48.81,49.0,0.3,289
 94/07/26,7128000,349509650.0,49.0,49.25,48.8,48.87,-0.13,330
 94/07/27,5653000,273882570.0,48.3,48.84,48.2,48.35,-0.52,386
 94/07/28,4395000,213013580.0,48.4,48.6,48.34,48.59,0.24,314
 94/07/29,8495000,413497110.0,48.88,48.98,48.15,48.17,-0.42,412
