date,volume,money,open,high,low,close,change,num
 99/04/01,12561233,687176060.0,54.25,54.9,54.25,54.75,0.5,1709
 99/04/02,5653319,309707002.0,54.75,54.9,54.65,54.75,0.0,852
 99/04/06,15860446,878633030.0,54.9,55.55,54.9,55.3,0.55,2226
 99/04/07,6597232,365506991.0,55.35,55.5,55.3,55.4,0.1,923
 99/04/08,9030400,498542339.0,55.4,55.5,54.85,55.05,-0.35,1405
 99/04/09,6178841,340098149.0,55.0,55.2,54.8,55.2,0.15,733
 99/04/12,8812066,488117349.0,55.45,55.55,55.2,55.45,0.25,902
 99/04/13,11543557,633544169.0,55.2,55.2,54.6,54.8,-0.65,1112
 99/04/14,8277800,454766244.0,55.0,55.2,54.8,55.2,0.4,825
 99/04/15,12427363,690185306.0,55.35,55.8,55.35,55.55,0.35,1266
 99/04/16,11167998,615453484.0,55.5,55.5,54.9,55.2,-0.35,1118
 99/04/19,14074788,763951383.0,54.65,54.65,53.65,53.65,-1.55,2513
 99/04/20,6757051,364420104.0,53.9,54.1,53.75,53.85,0.2,1054
 99/04/21,7299746,397399540.0,54.15,54.6,54.15,54.55,0.7,993
 99/04/22,8147167,440887478.0,54.2,54.5,53.9,54.45,-0.1,922
 99/04/23,8918587,487267163.0,54.45,54.75,54.45,54.75,0.3,1331
 99/04/26,11153959,620844754.0,55.25,55.9,55.25,55.9,1.15,2162
 99/04/27,5510962,307309125.0,55.9,55.95,55.6,55.85,-0.05,859
 99/04/28,7436672,408343757.0,54.75,55.35,54.55,55.25,-0.6,1336
 99/04/29,5085679,280045157.0,55.25,55.3,54.85,55.0,-0.25,657
 99/04/30,5323236,294390784.0,55.4,55.7,54.7,54.8,-0.2,1128
