date,volume,money,open,high,low,close,change,num
102/08/01,7468236,420330725.0,56.55,56.65,56.05,56.2,-0.4,1864
102/08/02,6840267,387353274.0,56.6,57.0,56.35,56.55,0.35,1375
102/08/05,2877732,162791874.0,56.5,56.8,56.25,56.7,0.15,1074
102/08/06,20739753,1158970776.0,56.4,56.4,55.75,55.9,-0.8,4604
102/08/07,21061146,1163901589.0,55.55,55.55,55.1,55.1,-0.8,5564
102/08/08,25089681,1379035959.0,55.0,55.1,54.8,54.9,-0.2,5058
102/08/09,25862360,1417930574.0,54.9,55.1,54.65,54.85,-0.05,4143
102/08/12,12024912,659841614.0,55.0,55.05,54.7,55.0,0.15,2689
102/08/13,7627486,422919658.0,55.35,55.55,55.3,55.55,0.55,2120
102/08/14,11120302,614619593.0,55.55,55.55,55.1,55.4,-0.15,2030
102/08/15,17432561,954337876.0,54.85,55.05,54.5,55.0,-0.4,4363
102/08/16,17785551,978460432.0,54.65,55.45,54.65,55.25,0.25,2438
102/08/19,8438620,464099757.0,55.05,55.1,54.85,55.1,-0.15,1631
102/08/20,19856498,1086946503.0,54.85,55.15,54.5,54.6,-0.5,4055
102/08/22,30612447,1655599727.0,54.3,54.35,53.85,54.15,-0.45,7481
102/08/23,16798781,920166255.0,54.5,55.0,54.5,54.85,0.7,3612
102/08/26,6650143,365856474.0,55.0,55.2,54.75,55.1,0.25,1792
102/08/27,7339895,402257761.0,55.0,55.0,54.6,54.6,-0.5,1770
102/08/28,9583954,522647708.0,54.35,54.75,54.3,54.75,0.15,3205
102/08/29,12791404,708453609.0,54.85,55.6,54.85,55.5,0.75,3687
102/08/30,11435856,637169530.0,55.6,55.85,55.4,55.85,0.35,2375
