date,volume,money,open,high,low,close,change,num
 97/01/02,5007010,303922809.0,61.3,61.3,60.0,60.1,-1.35,1254
 97/01/03,7424700,437979730.0,59.3,59.35,58.6,59.1,-1.0,2156
 97/01/04,7688100,450218210.0,58.35,59.35,58.05,59.1,0.0,1745
 97/01/07,20087070,1142428081.0,57.6,57.6,56.3,56.4,-2.7,4362
 97/01/08,8734405,497587266.0,56.45,57.3,56.45,56.95,0.55,2212
 97/01/09,7491350,428138175.0,56.1,58.0,55.9,58.0,1.05,2197
 97/01/10,10325301,601278108.0,58.3,58.6,57.9,57.9,-0.1,1518
 97/01/11,10204020,591545360.0,58.5,58.5,57.45,57.65,-0.25,1538
 97/01/14,12117980,712203118.0,59.05,59.15,58.1,58.8,1.15,2292
 97/01/15,22194750,1351425587.0,59.4,61.55,59.4,61.05,2.25,3805
 97/01/16,19227210,1135435356.0,59.65,59.75,58.4,58.4,-2.65,3299
 97/01/17,8942776,519510436.0,58.95,59.0,57.35,58.15,-0.25,2338
 97/01/18,13995500,798277600.0,57.0,58.5,56.35,58.5,0.35,3240
 97/01/21,5582914,323038294.0,57.9,58.25,57.55,57.7,-0.8,1277
 97/01/22,29432466,1595741814.0,55.05,55.05,53.7,53.7,-4.0,5746
 97/01/23,14922505,806529314.0,54.8,54.85,53.4,53.6,-0.1,3045
 97/01/24,14833265,812858825.0,55.05,55.3,53.8,55.0,1.4,3002
 97/01/25,9894400,553462800.0,55.6,56.4,55.6,56.4,1.4,2215
 97/01/28,6901472,380653160.0,55.9,55.9,54.5,54.6,-1.8,1824
 97/01/29,4127722,226648982.0,55.3,55.3,54.4,55.1,0.5,1133
 97/01/30,6004400,331769590.0,55.1,55.8,54.75,54.95,-0.15,1312
 97/01/31,5220800,285728500.0,54.8,55.25,54.2,54.95,0.0,1413
